# Insertion sort. Time expressed in microseconds
#     Size        Random         Ascending         Descending
#------------------------------------------------------------
      1000       340.15         5.54       334.31
      2000       672.57         5.11      1196.12
      3000      1428.60         7.62      2789.93
      4000      2525.68        10.14      4810.36
      5000      3829.78        13.90      7743.86
      6000      5854.67        15.48     11774.88
      7000      7988.76        18.71     15511.51
      8000     10173.13        20.26     19526.78
      9000     12097.56        35.30     24592.72
     10000     15187.05        31.02     29926.59
