# Linear Search. Time expressed in microseconds
#     Size        Best         Worst      Average
#------------------------------------------------
     10000         0.05         5.64         2.64
     20000         0.04        11.09         4.29
     30000         0.04        18.14         6.16
     40000         0.04        24.14         9.53
     50000         0.05        32.53        12.11
     60000         0.04        22.72        18.80
     70000         0.04        23.75        22.34
     80000         0.04        28.45        25.90
     90000         0.04        32.74        29.01
    100000         0.04        36.18        33.72
