# Selection sort. Time expressed in microseconds
#     Size        Random         Ascending         Descending
#------------------------------------------------------------
      1000       797.27       649.90       673.43
      2000      2848.10      2847.62      2948.12
      3000      6443.66      6110.90      6563.74
      4000     10874.69      9861.63     11183.49
      5000     16167.71     15460.48     16780.03
      6000     23043.41     23203.24     25516.99
      7000     31983.87     30974.33     34322.27
      8000     42115.79     40336.93     43639.43
      9000     52318.81     50775.11     54554.25
     10000     63745.06     61704.32     68010.87
